3.442615384615386720e+05,5.159428571428602445e+05
3.775826839826842188e+05,1.327610389610262937e+05
2.912192816635163035e+05,9.541758034026317764e+05
2.922966666666668607e+05,3.372875000000026193e+05
1.828184615384617355e+05,6.741323076923103072e+05
4.958787346221443149e+05,3.814446397188073606e+05
2.702722371967657236e+05,8.051649595687203109e+05
1.999500000000002037e+05,5.765681818181631388e+04
4.735383895131088211e+05,1.396526217228348833e+05
3.256892382103992859e+05,7.457025392986610532e+05
6.042380952380953822e+05,2.904634353741466766e+05
4.415500000000002328e+05,1.166611111111115431e+06
4.099542334096112172e+05,5.432608695652212482e+05
3.604354106479572947e+05,6.256867519603726687e+05
2.768745574102177052e+05,1.026499747091431636e+05
1.215644859813086223e+05,8.873158878504587337e+05
4.330544886109872605e+05,2.249999999999920547e+05
2.478944099378884130e+05,2.281225296442645777e+05
4.654603024574671290e+05,4.665170132325130980e+05
3.831842658813633025e+05,4.170370214556166902e+05
4.991286605856938986e+05,2.971152184349493473e+05
2.688137065637068008e+05,6.867818532818439417e+05
3.587192247249871143e+05,8.277082242011385970e+05
3.345969322539414279e+05,2.325236472091953619e+05
2.615215333648842643e+05,5.889034548035997432e+05
5.445280575539569836e+05,2.198009592326064885e+05
1.912004110996918753e+05,7.735837615621662699e+05
3.969610443431415479e+05,3.213083298798177857e+05
5.726285072951741749e+05,1.440381593714833143e+05
2.270358874878760544e+05,8.796226964112354908e+05
